# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-999671    17      30    2    1    0 
-999321    15      41    3    1    0 
-998822     4      54    0    0    0 
-998381    34     216    0    0    0 
-998073    33     197    0    0    0 
-997839    26      32    0    0    0 
-997018    32      44    1    2    0 
-996918    33      54    3    0    0 
-996712     9      50    1    0    0 
-996712     9      74    3    0    0 
-996712    11      31    1    2    0 
-996704    24    1728    3    0    0 
-996704    28    1218    3    1    0 
-996704    30     158    1    1    0 
-996328     4    1727    0    0    0 
-996328     9      80    0    1    0 
-995783    31     157    2    1    0 
-995337    20    1853    3    2    0 
-995337    23    1382    3    1    0 
-995337    26      43    0    0    0 
-995304    15      24    2    1    0 
-995304    17      31    2    0    0 
-995229     4      20    2    2    0 
-995046     0    1469    2    2    0 
-995029    17      30    0    1    0 
-994808    13     686    1    2    0 
-994808    14      58    1    0    0 
-994632    33      96    1    0    0 
-994243     5      51    2    0    0 
-994055    26      18    2    0    0 
-994055    27      48    3    0    0 
-993770    15     211    3    1    0 
-993190    11    1803    0    1    0 
-993190    11    1887    0    2    0 
-992824    29      36    2    1    0 
-992707    29      19    2    0    0 
-992601    34      49    0    2    0 
-992403    31    1470    2    1    0 
-992402     0      30    2    2    0 
-991780    10    1544    3    2    0 
-991780    12     140    1    0    0 
-991780    16      34    3    1    0 
-991475    10     120    2    1    0 
-990823    17      72    1    0    0 
-990510    13    1678    2    0    0 
-990510    13    1713    1    0    0 
-990510    13    1680    2    1    0 
-990510    19      55    0    0    0 
-990510    19     118    3    0    0 
-990510    19     117    3    2    0 
-990510    19     805    2    2    0 
-989644    20    1596    2    2    0 
-989644    25      81    2    0    0 
-989644    27      19    2    1    0 
-989102    12     162    0    0    0 
-988785    14      86    0    0    0 
-988760    24     100    2    1    0 
-988425     3      37    3    2    0 
-987618    22      17    2    2    0 
-987583    19      35    1    0    0 
-987285    33     171    3    2    0 
-987187    30     166    0    2    0 
-986941    19     194    1    0    0 
-986925    13    1723    2    1    0 
-986925    18      46    3    0    0 
-986925    18    1189    2    0    0 
-986925    19      18    2    2    0 
-986925    19      40    3    1    0 
-986925    20      58    3    2    0 
-986776    10      40    1    1    0 
-986655    21     119    2    2    0 
-986465     9     123    1    2    0 
-986465    11      33    2    0    0 
-986138    16      72    1    2    0 
-985922    34    1384    2    1    0 
-985533    30     112    1    1    0 
-985351     7    1503    0    1    0 
-985137    20     749    3    2    0 
-984605    23     273    0    1    0 
-984605    24     869    0    2    0 
-984379    23    1746    1    1    0 
-984379    23    1850    1    2    0 
-984379    24    1841    3    2    0 
-984263    32      55    1    0    0 
-984263    32      96    1    1    0 
-984186     5     997    1    1    0 
-984121    29      72    0    2    0 
-983912    31      25    0    0    0 
-983817     8    1921    0    2    0 
-983817     8    1839    0    1    0 
-983409    28      36    2    2    0 
-983149    33      50    3    1    0 
-983149    34     156    2    2    0 
-983149    34     196    3    2    0 
-983149    34      18    2    0    0 
-983149    35     397    1    0    0 
-982706     1     515    3    1    0 
-982497     0      33    3    1    0 
-982105    20    1631    2    2    0 
-982105    24      32    0    0    0 
-982105    26     815    2    1    0 
-982033    25      57    0    1    0 
-981564     3      35    2    0    0 
-981483    34     200    1    1    0 
-981199     3      20    2    0    0 
-981065    35    1783    3    2    0 
-981064     9      31    1    2    0 
-980738    26      81    1    2    0 
-980738    27      76    1    1    0 
-980348    28     147    0    2    0 
-980171    34      41    3    1    0 
-980171    34     112    0    1    0 
-980171    34      23    2    0    0 
-980171    35      43    1    0    0 
-980171    35     110    1    1    0 
-980171    35      81    2    1    0 
-980171    35     564    3    2    0 
-980170     0     606    0    2    0 
-980170     0      51    0    0    0 
-980170     3      36    3    0    0 
-979732     3      19    2    1    0 
-979151    28    1711    2    2    0 
-979151    33     186    0    0    0 
-979151    35      34    0    2    0 
-978803    34    2041    0    2    0 
-978803    34    1754    2    0    0 
-978803    35    1800    3    2    0 
-978803    35    1606    2    1    0 
-978802     2      56    1    0    0 
-978802     5     130    0    1    0 
-978753     0      32    0    2    0 
-978574     0    1803    1    2    0 
-978574     4    1273    3    1    0 
-977884    21    1652    3    1    0 
-977741    21      24    2    0    0 
-977741    23    1552    2    2    0 
-977741    24    1749    3    2    0 
-977741    24    1381    2    1    0 
-977582    18      45    0    0    0 
-977549     6    2323    0    2    0 
-977549     6    1684    2    0    0 
-977549     6    1913    3    2    0 
-977549     6    2060    0    1    0 
-977549     6    1712    2    1    0 
-977549     6    1695    2    2    0 
-977549     7    1856    1    0    0 
-977549    12     127    3    1    0 
-977549    12     666    0    0    0 
-977549    13     184    1    2    0 
-977549    13    1126    1    1    0 
-977425    23      61    2    0    0 
-976818    18      33    3    1    0 
-976475    20    1769    1    2    0 
-976372    12    1351    3    1    0 
-976372    14      68    1    2    0 
-976372    16      39    1    1    0 
-976338    11    1609    2    1    0 
-976338    13    1444    2    0    0 
-976338    16      76    3    0    0 
-976338    16     130    3    1    0 
-976338    17      29    2    2    0 
-976338    17     432    3    2    0 
-976338    18      31    0    0    0 
-976220    32     174    0    2    0 
-975957    32      27    2    1    0 
-975683    18      55    1    0    0 
-975683    20      33    0    2    0 
-975446    28     371    3    0    0 
-975436    32    1756    1    2    0 
-975357     3      31    2    0    0 
-975093    17      98    1    0    0 
-974955    31     859    2    2    0 
-974454    10    1749    0    1    0 
-974454    16    1165    0    2    0 
-974069    14      36    1    1    0 
-973781     7      75    0    1    0 
-973727    20      25    2    2    0 
-973727    21      59    0    0    0 
-973554    32      46    1    0    0 
-973396    20      38    1    0    0 
-973396    22     404    1    2    0 
-973396    23      28    0    0    0 
-973373    35      41    3    0    0 
-973205    14      64    3    1    0 
-973178    28    1692    2    0    0 
-972644     4     191    1    1    0 
-972531    11     118    1    0    0 
-972297    19     205    0    0    0 
-972245    30    1395    1    2    0 
-972245    33      65    3    0    0 
-972245    33     334    3    1    0 
-972245    33      75    3    2    0 
-972245    34      99    1    1    0 
-972094     7      51    0    2    0 
-971681    25      47    0    0    0 
-971665    21    1573    1    0    0 
-971579    24     336    2    1    0 
-971242    31      50    0    0    0 
-970997    22      31    0    1    0 
-970781    19      54    0    0    0 
-970682    29    1610    2    0    0 
-970682    33      62    3    2    0 
-970682    33      71    0    2    0 
-970331    20      22    0    2    0 
-970197    23      41    0    1    0 
-969693    18      88    3    1    0 
-969693    19     320    3    2    0 
-969639    28     138    3    1    0 
-969231    32      50    1    0    0 
-968978    10      31    3    1    0 
-968790    14     568    3    1    0 
-968594     9      45    3    0    0 
-968199     5    1307    2    1    0 
-967916    15    1630    0    1    0 
-967916    18     153    0    0    0 
-967096    13     129    3    1    0 
-967096    14    1219    3    0    0 
-966778    31      82    0    0    0 
-965968    27     317    2    2    0 
-965835    30    1730    1    1    0 
-965696    15     125    3    0    0 
-965696    15     103    3    1    0 
-965641    33     160    1    0    0 
-965426     7     182    3    2    0 
-965426     9      20    2    0    0 
-965367    26      81    0    0    0 
-965228    13    1804    0    0    0 
-964944    23     216    1    2    0 
-964770    21      74    0    0    0 
-964585     4     188    1    2    0 
-964397    11    1448    2    1    0 
-964380    16     131    2    1    0 
-964322    26     176    1    0    0 
-964263    18      29    2    1    0 
-964020     0      89    0    2    0 
-964002    33      19    2    2    0 
-963930    31     121    0    0    0 
-963832    23    1189    1    0    0 
-963711    11      94    2    1    0 
-963318     2      91    1    0    0 
-963271    14    1271    0    0    0 
-963195    10     663    2    0    0 
-963040    24     110    1    2    0 
-962933     9      29    0    0    0 
-962888    24    1602    1    1    0 
-962888    29     736    3    1    0 
-962621    11    1508    2    0    0 
-962230    29      70    0    2    0 
-962087    28      18    2    2    0 
-961954    34    1942    1    0    0 
-961954    35    1979    0    2    0 
-961954    35    1702    1    1    0 
-961953     0    1774    3    2    0 
-961953     4     489    0    0    0 
-961953     5      75    1    2    0 
-961953     6      43    3    1    0 
-961953    20     147    2    2    0 
-961953    21     327    2    1    0 
-961942     4     405    0    2    1 
-961942     5     167    0    1    0 
-959776     3      29    0    0    0 
-959716     9    1775    1    0    0 
-959716    14      39    1    1    0 
-959678    15      32    0    0    0 
-959555    35     101    1    0    0 
