# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
-1000100     497    0    30    126    1 
 -999850     896    2    22      6    0 
 -999669     183    2     8     80    0 
 -998739     214    2     5     35    0 
 -998377     399    1    18     83    0 
 -998256     495    3    21    124    0 
 -997837     225    0    22    117    0 
 -997766     520    3    29    117    0 
 -997294     935    1     0     88    0 
 -997294     735    3    24     54    0 
 -997077     525    0     4     66    0 
 -996873     186    3     3     73    0 
 -996711     285    1     8     81    0 
 -996702     430    3     8      0    0 
 -996702     841    3     3    106    1 
 -996651     216    2    19    119    0 
 -995957     479    0    12     71    0 
 -995768     827    3    15     24    0 
 -995336     850    0     7     63    1 
 -995228     397    0     9    107    0 
 -995045     890    2    28     10    0 
 -994882     256    3    14    111    0 
 -994333     296    2    24     13    0 
 -994333     636    0    31     77    0 
 -994333     615    0    15     90    0 
 -993955     525    1    14    102    0 
 -993189     885    1    13     83    0 
 -993189    1022    0    31    127    3 
 -992475     228    3    31     45    0 
 -992401     891    2     8    117    0 
 -992118     502    0     9     90    0 
 -991779     863    3    24     52    0 
 -991630     262    1    28     43    0 
 -991627     210    1    13     34    0 
 -990903     865    1    29     55    1 
 -990509     481    2     0     11    0 
 -990508     670    0     0     45    0 
 -990508     436    2    23      2    0 
 -990153     588    3     5     19    0 
 -989714     265    1    15     64    0 
 -989643     849    3    11     54    0 
 -989464     198    3    28     89    0 
 -989136     205    2    14    115    0 
 -989101     762    3     2      4    0 
 -989101     850    0     7    116    0 
 -989101     971    0    15     28    1 
 -988784     849    0     6     64    0 
 -988758     854    3     8    116    0 
 -986924    1023    2     7    126    1 
 -986924     376    3    31     29    0 
 -986924    1014    2    15     93    1 
 -986924     872    3    23     63    0 
 -986924    1023    2    23    103    2 
 -986923     700    1    18     93    0 
 -986923     282    0    10     44    0 
 -986775     936    1     5     93    0 
 -986775     365    2     6     80    0 
 -986621     613    1     0     75    0 
 -986620     553    3    24     71    0 
 -986464     935    1     0     60    0 
 -986402     832    0    29    103    1 
 -986286     215    0     5     33    0 
 -986286    1023    1     7    123    1 
 -986286     685    2     5     57    0 
 -985951     622    1    12    102    0 
 -985533     848    0     0     99    0 
 -985533    1023    2    21    111    1 
 -985532     886    0     8     41    0 
 -985531     445    1    11     31    0 
 -985329    1008    1    27    110    1 
 -985307     332    1     9     22    0 
 -985136    1023    3    21    110    2 
 -984377    1008    1    31    105    1 
 -984185    1008    1    27    127    1 
 -984180     167    1    27      4    0 
 -983942     301    3    30     69    0 
 -983925     264    0    25     99    0 
 -983816     875    0    26     21    0 
 -983816     512    1     6     11    0 
 -983816    1010    0    19    118    1 
 -983680     838    3    15     20    0 
 -983294     355    0     5    106    0 
 -982754     828    3    26     88    0 
 -982103     301    3    11    125    0 
 -980500     847    0     5     36    0 
 -980170    1023    2     5    119    2 
 -980169     604    0    26     36    0 
 -980169    1006    3    27     90    1 
 -980169     994    0     1    119    2 
 -980169     969    3    13    127    1 
 -980169     229    0    15    125    1 
 -980169    1014    2    11    123    2 
 -980169     595    3    19     71    0 
 -980169     209    0    17     97    0 
 -980169    1023    2    21    117    2 
 -980169    1023    2    31    124    2 
 -980168     216    1     1     83    0 
 -980051     197    3    22     20    0 
 -979870     377    2    29     63    0 
 -979870     208    0    13     61    0 
 -979870     549    1    29     58    0 
 -979214     638    3     4     56    0 
 -979150    1023    2    23    127    3 
 -979149     901    2    25     58    0 
 -979149    1014    2    13    123    1 
 -979147     200    2    23    108    1 
 -979144     168    2    13     17    0 
 -978887     882    3    18    109    0 
 -978866     400    2     8    124    0 
