#ttrig = 90890757.3784
# time 	 unbarycentered time 
11384.433754	11787.395996
11384.436318	11787.39856
11384.437782	11787.400024
11384.43998	11787.402222
11384.442177	11787.404419
11384.454017	11787.41626
11384.454261	11787.416504
11384.461463	11787.423706
11384.462195	11787.424438
11384.462806	11787.425049
11384.473059	11787.435303
11384.474768	11787.437012
11384.474768	11787.437012
11384.475134	11787.437378
11384.475256	11787.4375
11384.475867	11787.43811
11384.476233	11787.438477
11384.477087	11787.439331
11384.477087	11787.439331
11384.477331	11787.439575
11384.478064	11787.440308
11384.478552	11787.440796
11384.478796	11787.44104
11384.478796	11787.44104
11384.479162	11787.441406
11384.479284	11787.441528
11384.479284	11787.441528
11384.479284	11787.441528
11384.479773	11787.442017
11384.480139	11787.442383
11384.480139	11787.442383
11384.480261	11787.442505
11384.480871	11787.443115
11384.480993	11787.443237
11384.481115	11787.443359
11384.481359	11787.443604
11384.481726	11787.44397
11384.482092	11787.444336
11384.48258	11787.444824
11384.482824	11787.445068
11384.482946	11787.44519
11384.482946	11787.44519
11384.483068	11787.445313
11384.483801	11787.446045
11384.484045	11787.446289
11384.484777	11787.447021
11384.484899	11787.447144
11384.484899	11787.447144
11384.485021	11787.447266
11384.485388	11787.447632
11384.485876	11787.44812
11384.486486	11787.44873
11384.486486	11787.44873
11384.486852	11787.449097
11384.486852	11787.449097
11384.486974	11787.449219
11384.487707	11787.449951
11384.487707	11787.449951
11384.487951	11787.450195
11384.488805	11787.45105
11384.488927	11787.451172
11384.489172	11787.451416
11384.489294	11787.451538
11384.489416	11787.45166
11384.490392	11787.452637
11384.491003	11787.453247
11384.491491	11787.453735
11384.492833	11787.455078
11384.4932	11787.455444
11384.493688	11787.455933
11384.494542	11787.456787
11384.495519	11787.457764
11384.495763	11787.458008
11384.497716	11787.459961
11384.498448	11787.460693
11384.49857	11787.460815
11384.498693	11787.460938
11384.501256	11787.463501
11384.502965	11787.46521
11384.503209	11787.465454
11384.504552	11787.466797
11384.504674	11787.466919
11384.506505	11787.46875
11384.514439	11787.476685
11384.514805	11787.477051
11384.514927	11787.477173
11384.51627	11787.478516
11384.517735	11787.47998
11384.520298	11787.482544
11384.524814	11787.487061
11384.526157	11787.488403
11384.526645	11787.488892
11384.530795	11787.493042
11384.53519	11787.497437
11384.537753	11787.5
11384.538241	11787.500488
11384.539096	11787.501343
11384.54349	11787.505737
11384.546664	11787.508911
11384.547762	11787.51001
11384.548129	11787.510376
11384.550082	11787.512329
11384.550082	11787.512329
11384.551791	11787.514038
11384.552157	11787.514404
11384.552157	11787.514404
11384.552889	11787.515137
11384.553011	11787.515259
11384.556429	11787.518677
11384.558992	11787.52124
11384.560335	11787.522583
11384.560335	11787.522583
11384.56302	11787.525269
11384.567171	11787.529419
11384.567171	11787.529419
11384.575959	11787.538208
11384.577302	11787.539551
11384.583527	11787.545776
11384.586091	11787.54834
11384.587067	11787.549316
11384.590119	11787.552368
11384.590363	11787.552612
11384.591583	11787.553833
11384.591706	11787.553955
11384.592194	11787.554443
11384.592438	11787.554688
11384.592438	11787.554688
11384.592804	11787.555054
11384.593048	11787.555298
11384.59317	11787.55542
11384.593414	11787.555664
11384.593659	11787.555908
11384.595245	11787.557495
11384.597076	11787.559326
11384.597931	11787.560181
11384.598175	11787.560425
11384.600494	11787.562744
11384.601349	11787.563599
11384.601593	11787.563843
11384.605621	11787.567871
11384.605987	11787.568237
11384.60855	11787.570801
11384.612701	11787.574951
11384.612945	11787.575195
11384.613067	11787.575317
11384.617339	11787.57959
11384.617705	11787.579956
11384.617949	11787.5802
11384.619048	11787.581299
11384.620147	11787.582397
11384.623808	11787.58606
11384.62393	11787.586182
11384.624907	11787.587158
11384.625395	11787.587646
11384.626006	11787.588257
11384.626616	11787.588867
11384.626982	11787.589233
11384.628203	11787.590454
11384.628569	11787.59082
11384.629423	11787.591675
11384.630156	11787.592407
11384.6304	11787.592651
11384.631254	11787.593506
11384.631254	11787.593506
11384.631376	11787.593628
11384.631743	11787.593994
11384.633207	11787.595459
11384.633329	11787.595581
11384.633818	11787.596069
11384.63455	11787.596802
